annotated_cells,bc_q30_bases_fract,cells_detected,frac_cut_fragments_in_peaks,frac_fragments_nfr,frac_fragments_nfr_or_nuc,frac_fragments_nuc,frac_fragments_overlapping_peaks,frac_fragments_overlapping_targets,frac_mapped_confidently,frac_waste_chimeric,frac_waste_duplicate,frac_waste_lowmapq,frac_waste_mitochondrial,frac_waste_no_barcode,frac_waste_non_cell_barcode,frac_waste_overall_nondup,frac_waste_total,frac_waste_unmapped,median_fragments_per_cell,median_per_cell_unique_fragments_at_30000_RRPC,num_fragments,r1_q30_bases_fract,r2_q30_bases_fract,si_q30_bases_fract,total_usable_fragments,tss_enrichment_score,median_per_cell_unique_fragments_at_50000_RRPC,median_per_cell_total_library_complexity
SCAT_PPMI57292_9970_da65,2606,0.913791513385,2606,0.411065013501,0.471102074736,0.880768279311,0.409666204574,0.439569719928,0.682183455324,0.526600933348,0.00297528526158,0.110800321174,0.0289887449928,0.0102307999973,0.340345766436,0.347285714842,0.735666863435,0.846467184609,0.00584055190502,9113.5,1533.79718024,359639129,0.959043843723,0.957540870762,0.909808078753,55216408,5.23464402047,2445.60326464,NA
SCAT_PPMI51844_9766_da65,2911,0.896836690876,2911,0.629121115059,0.41668317653,0.728072301582,0.311389125052,0.676090077008,0.746036112536,0.449904120934,0.00177409577976,0.292475631856,0.0432091908871,0.0638464618136,0.344149540257,0.177496805057,0.637558096665,0.930033728521,0.00708200286998,3015,1213.7414424,381773638,0.948123913405,0.944346006517,0.916161565548,26711278,7.47979669631,1676.28214105,3202.02605618
SCAT_PPMI3460_1783_da65,3694,0.902871055602,3694,0.585020363421,0.419448684497,0.809213790129,0.389765105632,0.620093547711,0.741282995648,0.586382834498,0.00346612043085,0.167299414326,0.0367275590564,0.00588052632573,0.326594709356,0.142670902078,0.520419995068,0.687719409394,0.00508017782121,24125,5548.31887332,340559142,0.956495161252,0.954299751845,0.931545330532,106350010,6.73481574605,8749.27411367,NA
SCAT_PPMI3957_7680_da65,3818,0.903921968509,3818,0.472842671633,0.492450940798,0.820536295382,0.328085354584,0.503669085372,0.698335744611,0.517959067494,0.00304821779925,0.216959462697,0.0362234146606,0.0241146089335,0.332934808567,0.270374349474,0.676204743783,0.89316420648,0.0095093443487,5772,1895.20439402,383058586,0.954892495213,0.953042561018,0.907532074284,40924368,7.33736629844,2760.20552949,7304.02272913
SCAT_PPMI53518_8871_da65,4074,0.907675526724,4074,0.579798155316,0.430185404522,0.816967487134,0.386782082612,0.613704780679,0.757985910019,0.574979105287,0.00339569498853,0.164068618505,0.035114352757,0.00577100623835,0.338016869085,0.14571667054,0.533088789892,0.697157408398,0.0050741962834,23272.5,5626.5881963,354694990,0.955098577761,0.953328682981,0.9296365509,107416750,6.66087971973,8869.67224831,NA
SCAT_PPMI53988_8554_da65,4143,0.90616233896,4143,0.613933778103,0.449634235212,0.826627271019,0.376993035807,0.644709480858,0.76895899285,0.573849168355,0.00339844103157,0.200970572067,0.0363083025281,0.00947652853514,0.33430697505,0.143110592398,0.53240820096,0.733378773027,0.00580736141726,15714,4228.73125427,369336407,0.956575267704,0.954934487528,0.944463839778,98472926,7.1803264751,6537.44169675,NA
SCAT_PPMI3966_2813_da65_E6,4595,0.911201973062,4595,0.476839984108,0.46494905735,0.869129326785,0.404180269435,0.506669714963,0.714951835719,0.559212402218,0.00245777559237,0.0773935317262,0.0252857094704,0.00647210082238,0.332563828702,0.356251649819,0.727221989024,0.80461552075,0.00419092461842,9692,2493.99620474,343189184,0.956773679967,0.955315155466,0.930276056937,67053840,5.62699275361,3958.36968706,NA
SCAT_PPMI4109_6049_da65,4854,0.909714778594,4854,0.605255415378,0.469398876927,0.84472018149,0.375321304563,0.635965721795,0.761126458629,0.569569167445,0.00317337135825,0.251545231553,0.0373911063173,0.0137869164841,0.326207814395,0.14963205898,0.536371980329,0.787917211882,0.00618071279489,10281,3653.53498707,360796412,0.9571292905,0.955578600743,0.906976974732,76518709,7.91785079929,5394.96297166,19187.799036
SCAT_PPMI51714_7806_da65,4988,0.902078125018,4988,0.613016281243,0.40515216331,0.772961024685,0.367808861375,0.649160154895,0.764794479283,0.589846002327,0.00271443225743,0.225082824554,0.0337500593768,0.00917666156221,0.323717833433,0.139685011383,0.514669403709,0.739752228263,0.00562540569666,11018.5,3522.56035517,371820294,0.952530788756,0.950649225485,0.912640310322,96765403,7.11344969198,5334.92120097,NA
SCAT_PPMI41430_2212_da65,5132,0.902043592084,5132,0.691426623575,0.480636122821,0.82084753066,0.340211407839,0.719597899876,0.786337529932,0.573117014319,0.00354831562177,0.229591878164,0.0348596600213,0.0140670718257,0.32964963976,0.138923219116,0.527075884184,0.756667762348,0.00602797783872,9280,3325.43795014,349867411,0.954425978894,0.952504251859,0.924682372746,85134020,7.72318204002,4951.85059092,15027.1374323
SCAT_PPMI52932_9091_da65,5635,0.888319682642,5635,0.540496790371,0.338993817095,0.676007670151,0.337013853056,0.579045867748,0.732113545935,0.578695087117,0.00247574582603,0.316548538291,0.040963846573,0.0272542556109,0.320100862846,0.0901681389148,0.487057793,0.803606331291,0.00609494322889,8546,2894.12963907,499156249,0.946775355754,0.943468888807,0.933076728345,98031127,7.05169369081,4236.29796687,11368.4844638
SCAT_PPMI3966_2813_da65_E8,5781,0.908793335878,5781,0.567409433704,0.463712927677,0.818477931267,0.354765003591,0.601166287842,0.746987039918,0.57272213356,0.00329408546229,0.209859990511,0.0350583537985,0.0104698222568,0.316577268636,0.19290500186,0.565779881767,0.775639872279,0.0074753497528,7750,2805.79114119,380187161,0.956074140201,0.954863429421,0.934663123395,85298840,7.16544441184,4191.8864452,NA
SCAT_PPMI3220_6139_da65,6084,0.910197531365,6084,0.812346568668,0.503517921229,0.84203967856,0.338521757331,0.832818483054,0.808225257546,0.613638237597,0.00373029421206,0.297781435721,0.033577556966,0.00941868401069,0.314856377001,0.0692816083914,0.436953358288,0.734734794009,0.00608883770692,9501.5,4097.34127611,346094953,0.957300506273,0.955646206859,0.927033439,91806949,8.58517412935,5931.9321705,12763.3575071
SCAT_PPMI3459_1662_da65,6084,0.910197531365,6084,0.812346568668,0.503517921229,0.84203967856,0.338521757331,0.832818483054,0.808225257546,0.613638237597,0.00373029421206,0.297781435721,0.033577556966,0.00941868401069,0.314856377001,0.0692816083914,0.436953358288,0.734734794009,0.00608883770692,9501.5,4097.34127611,346094953,0.957300506273,0.955646206859,0.927033439,91806949,8.58517412935,5931.9321705,12763.3575071
SCAT_PPMI58182_0923_da65,6267,0.908490820669,6267,0.584836255239,0.442778154151,0.813844086496,0.371065932345,0.618082745599,0.759286745171,0.560359988219,0.00337755692264,0.143151560292,0.0323823179577,0.00872776704346,0.339322834027,0.197494726793,0.587509854579,0.730661414871,0.00620465183542,9152,3393.3877102,334693397,0.955177252765,0.953582721171,0.931842480074,90145846,6.56786177106,5211.24808287,NA
SCAT_PPMI54048_1314_da65,6269,0.908500124169,6269,0.669150270117,0.497967126925,0.841422702033,0.343455575108,0.696932405441,0.785191523234,0.582525643786,0.00421937894081,0.197319283613,0.0372250698163,0.0121053637406,0.329077025567,0.123409661592,0.511436323303,0.708755606917,0.00539982364652,13469,4466.67019337,416630273,0.957074775508,0.95514113804,0.917393114518,121341231,7.60299392936,6846.4496902,NA
SCAT_PPMI41568_0125_da65,6486,0.90629463816,6486,0.543386200201,0.43369313446,0.851607981483,0.417914847023,0.573488632362,0.740582199819,0.554763797407,0.00305526868162,0.124721810917,0.0311280230511,0.00899412919691,0.330355456714,0.261608662703,0.64191903871,0.766640849626,0.00677749836253,8342,3088.26100111,345987247,0.956512708795,0.955189600568,0.941451117272,80739290,6.65562011985,4751.17672795,NA
SCAT_PPMI57961_0085_da65,6808,0.900839459208,6808,0.587751914746,0.456523193592,0.809404593906,0.352881400315,0.620428363956,0.754352626522,0.565524133477,0.00357595925001,0.193247284972,0.0346871560533,0.00953121997726,0.340957092072,0.15799557984,0.552109512761,0.745356797733,0.00536250556871,10067.5,3379.98584182,460822645,0.956038581009,0.953737338392,0.930862382805,117345354,7.10847505073,5143.61560061,14780.3931828
SCAT_PPMI4091_7907_da65,7001,0.914120121868,7001,0.540714978511,0.513183763852,0.864161317317,0.350977553465,0.570604474651,0.737394014523,0.533814467879,0.00320695033703,0.163530749889,0.0341208313275,0.0131198306419,0.322123546396,0.246459808268,0.631222632555,0.794753382444,0.0121916655847,5837,2732.67891172,311249597,0.957817466149,0.9567866366,0.928498291357,63882927,7.65178147268,4019.86064934,NA
SCAT_PPMI52400_3063_da65,7014,0.908181260667,7014,0.721369772184,0.486828729135,0.846170408926,0.359341679791,0.748328901913,0.786633229099,0.583480539947,0.00351169258329,0.246696340743,0.0383817657865,0.0145755762341,0.322621807908,0.102318148566,0.48742815857,0.734124499313,0.00601916749099,10200.5,4518.08681703,351873910,0.956888646621,0.955423154116,0.928008116601,93554652,8.311922366,6608.05520865,15882.3816049
SCAT_PPMI55124_1128_da65,7305,0.907520388978,7305,0.675600350333,0.49417605789,0.845805281325,0.351629223435,0.703074409874,0.782654267368,0.592042788034,0.00408413615511,0.173449257288,0.0371315352982,0.0114944813885,0.321039013938,0.111724745641,0.491264809767,0.664714067055,0.00579089734523,11965,4963.12240484,342742736,0.955382062009,0.953838458641,0.924724051993,114916818,7.75430050236,7580.32993021,NA
SCAT_PPMI51518_8710_da65,7584,0.904974287101,7584,0.636483399991,0.476163895153,0.82584951471,0.349685619558,0.666742406531,0.768225237115,0.580857983593,0.00312892176197,0.232875572024,0.036810761517,0.0155510149758,0.315620145631,0.14944543029,0.527391478944,0.760267050968,0.00683520476937,8724.5,3854.31461556,383903495,0.957862222881,0.955830855114,0.935805014291,92034317,8.14495379598,5637.04430008,15448.556287
SCAT_PPMI3467_3278_da65,10310,0.91588987904,10310,0.734272231329,0.586457067887,0.968514438077,0.38205737019,0.753194511129,0.794570295675,0.602516234699,0.00510545674924,0.15557780474,0.0347167915321,0.00542252728202,0.326003137665,0.1055324723,0.48049379944,0.636071604179,0.00371341391102,10883,5769.24315802,344188402,0.960566084312,0.958946304853,0.920759297549,125259933,8.60024512967,8738.57514436,26003.0184291
SCAT_PPMI40760_1625_da65,11666,0.914212452037,11666,0.355849502605,0.472851716005,0.896758783387,0.423907067382,0.378822112579,0.638116859215,0.531262119228,0.00409131804884,0.0733338766412,0.0366512009222,0.014237952718,0.328113773565,0.304966492444,0.697538483528,0.770872360169,0.00947774583003,4736,2390.64392219,389613318,0.957933021372,0.957008648269,0.940674793296,89271180,5.56133158412,3726.78326178,NA
SCAT_PPMI4107_6817_da65,12838,0.920349942898,12838,0.839261355414,0.734657566442,0.967121166877,0.232463600435,0.851747457606,0.823631488421,0.597791735343,0.00700607698126,0.194192160359,0.0425468105368,0.00685573348087,0.330909059815,0.0469346307977,0.43809798048,0.632290140838,0.00384566886786,8184.5,5416.17663138,334939654,0.960383472779,0.959181295837,0.936874735874,123160613,9.19225841257,7938.31159301,NA
SCAT_PPMI4111_1744_da65,13119,0.912236099332,13119,0.631904771321,0.490448526056,0.898519600399,0.408071074343,0.659958241334,0.770790019338,0.581904667876,0.00343217836735,0.145333221897,0.0375801573018,0.00900503336819,0.327138270789,0.129428858493,0.51306007394,0.658393295837,0.00647557561952,7676,4827.94217722,354127283,0.957748395347,0.955763808997,0.913781990359,120972254,7.97202159736,7243.37234473,19113.5341568
SCAT_PPMI50086_8366_da65,13766,0.91357616599,13766,0.728953401234,0.614796457562,0.967768448217,0.352971990654,0.746472857897,0.797352736282,0.588765784576,0.00504428285517,0.150772644548,0.0359080241225,0.0101585592914,0.325799049707,0.10633179639,0.488478760978,0.639251405526,0.00523704861128,7775,5361.68241642,332559067,0.960304056345,0.958839086036,0.937815491511,119970216,8.72364691591,NA,18867.1358163
